StrippedCellLineName,Cancer_Type,mean_zscore,OXPHOS_state,EFR3A,MRPL58,EP300,ITGAV,TAFAZZIN,DNM1L,COQ4,NDUFC2,MICOS10,RAB6A,MYH9,TIPARP,CFLAR,SPTSSA,NDUFS1,SNAP23,RRAGC,ARHGEF7,CDK6,TRAF2,NCKAP1,STAMBP,COASY,ZFP36L1,ENO1,NDUFB8,FERMT2,APC,ARID1A,BRAF,CREBBP,FAT1,KMT2D,KRAS,NF1,PIK3CA,PTEN,TP53
SW1990,PancreaticAdenocarcinoma,0.158555403390041,0,0.517849883948916,0.245264712245293,0.0268251678254497,0.773437789244341,0.185988199720171,0.487014760180882,0.23887181084099,0.398291859923841,0.656580692871632,0.195900382809362,0.971602541247542,0.504815731215939,0.993940245113966,0.37124873146693,0.3025265940689,0.360315685726995,0.976623917082824,0.767497598107563,0.887602394919916,0.61222983008188,0.553853180340982,0.17653774744994,0.539301320321509,0.819246991358956,0.776929592705469,0.483147091947371,0.918942473280193,0,0,0,0,0,0,1,0,0,0,0
SW403,ColorectalAdenocarcinoma,0.424381256054708,OXPHOS_high,0.016756505326504,0.460078791504015,0.123102732067128,0.216649115911775,0.079042852842721,0.571951309573591,0.809867428777958,0.741853070285692,0.610412856144461,0.448298558631562,0.0551880760273402,0.735847717004185,0.27664423895931,0.275410303210411,0.278146967882238,0.660954137495275,0.0231445129471516,0.0589494475865171,0.0426467820608825,0.0800120938253011,0.059141102115961,0.461092067143254,0.0379624442697324,0.0209558154273508,0.0472895676046789,0.513155570064901,0.0202629038028571,1,0,0,0,0,0,1,0,1,0,1
SW48,ColorectalAdenocarcinoma,-0.622295283504061,OXPHOS_low,0.0629898459279132,0.415410882471383,0.83862168495439,0.561733368169284,0.211344162163191,0.71493432716767,0.428309547762983,0.454847354875001,0.486385036173905,0.695718604232467,0.917761283069561,0.16547231715206,0.0248640078806294,0.368492595247784,0.343158001862615,0.993191206805617,0.453065547891615,0.0644779004242535,0.103934567259296,0.387894180373845,0.219020796554345,0.390236632313489,0.2902532803088,0.0793184328045614,0.28441447701935,0.53078153378302,0.0256695151195307,0,1,0,1,0,1,0,0,0,0,0
SW579,HeadandNeckSquamousCellCarcinoma,-0.0570273838694319,0,0.0731702067178456,0.20682589515809,0.73561376203713,0.645828428565428,0.105553312740925,0.514472296000274,0.470165076200456,0.0925274670428097,0.0534466507599878,0.105276889187317,0.982865428866508,0.921750792350889,0.0464822875093498,0.356782070880105,0.182014272882221,0.238985496896325,0.31988924000938,0.0375860268528655,0.901117180807681,0.0528998043579788,0.962602798635227,0.282466920905272,0.105040955705816,0.451271314406718,0.868970899060414,0.207006271253101,0.507704328552877,0,0,0,0,0,0,0,0,0,0,0
SW620,ColorectalAdenocarcinoma,0.121650461163007,0,0.331340088162028,0.813033376018263,0.0651404901794278,0.277292128269997,0.236923818862183,0.6126093032248,0.750589081692696,0.734238660673408,0.142230936593034,0.959199128436781,0.0598078475306519,0.178814133968815,0.0845140672089898,0.209408231192358,0.823292595896316,0.0775852752589531,0.0904414800664265,0.130247603285017,0.622382335171386,0.0607277945263976,0.093115936112434,0.813661636569437,0.489676384095259,0.0163418003764196,0.0175159500745233,0.590311310016734,0.0904914500167708,1,0,0,0,0,0,1,0,0,0,1
SW626,ColorectalAdenocarcinoma,0.161454916194642,OXPHOS_high,0.989872671228068,0.698629393325748,9.6229994282123e-07,1,0.812113959977294,0.684087614012283,0.896513088617913,0.871082941753972,0.780504117800638,0.789229711080577,0.997915438653206,0.859554226912398,0.0444548561576822,0.176903522906734,0.934594472140137,0.999136200234396,0.317223430595058,0.940771555094344,0.0964215478047589,0.140939140636203,0.848399636312318,0.0191250555467412,0.664468787573528,0.767551400029324,0.23454026818434,0.626558242992401,0.36170961237212,1,0,0,0,0,0,1,0,0,0,1
SW837,ColorectalAdenocarcinoma,0.134667420742284,0,0.315219727683898,0.16505596589206,0.0110777611975303,0.278910812911303,0.457408326880467,0.241301389923067,0.386265447311403,0.334048491306137,0.122911552695135,0.345310851834598,0.444317940660802,0.605121672454324,0.957086208316758,0.298037877415739,0.189192576339017,0.307062128051379,0.164280160890487,0.162724874837983,0.0416513253412017,0.488129409698529,0.749741294177238,0.128910710112158,0.645119897025389,0.251902437253392,0.147442884436522,0.166367759128317,0.391131989460856,1,0,0,0,0,0,1,0,0,0,1
SW948,ColorectalAdenocarcinoma,-0.112932293806832,OXPHOS_low,0.48572258298484,0.734961230032019,0.281837843059363,0.715356215183545,0.134993861086905,0.633623338607507,0.258883275774447,0.604840029099676,0.286662436872737,0.187206850430078,0.0580096505788317,0.0962435652091252,0.114497957934158,0.121640327270105,0.0262260378978615,0.869535245479222,0.0913506526729805,0.0485028940268789,0.0480842055188299,0.227220775809419,0.196145453283433,0.712281932399325,0.115424848841488,0.0151950340413224,0.491193041885971,0.46940511635883,0.32372710356447,1,0,0,0,0,0,1,0,1,0,1
T3M4,PancreaticAdenocarcinoma,-0.0120662714353447,0,0.875090325089188,0.344862638748614,0.113618262512242,0.116062327535292,0.386362257069057,0.321704983414553,0.180887075039916,0.460692222635389,0.233596025264632,0.943932308763816,0.962313464054592,0.934919982139713,0.92682328663575,0.271080564514036,0.332711769991505,0.985706247907329,0.6035201833909,0.84275291701464,0.0981393824690017,0.269663281542076,0.0810061226693927,0.0465031345088245,0.635952300302755,0.433693519503066,0.689509960110184,0.118958498623579,0.0368773042581026,0,0,0,0,0,0,1,0,0,0,1
T3M5,HeadandNeckSquamousCellCarcinoma,-0.482913272556849,OXPHOS_low,0.886664358040625,0.362257801570588,0.0860285577949053,0.0092589233132432,0.307064804877954,0.781491775532327,0.604629983386419,0.177026562554214,0.0756168553561881,0.923708133619046,0.430152025607561,0.943184773808364,0.747406291421881,0.384574609274186,0.080712242061843,0.991257905132865,0.546572318773151,0.586408184496814,0.976499879005595,0.672986161273678,0.976580583665672,0.999508866917393,0.0761396869665369,0.0995337756301698,0.422886978845664,0.199592143088653,0.756560093701954,0,0,1,0,0,0,0,0,0,0,0
T47D,InvasiveBreastCarcinoma,0.18097176885521,OXPHOS_high,0.151131340906663,0.949955823610106,0.601623016044393,0.225111608787514,0.98235174120226,0.856667487257457,0.976077179122976,0.966695615864934,0.942353232529499,0.125091704632903,0.0528670627594172,0.0056773462643703,0.0538248822034715,0.0974135158716895,0.885791248795738,0.570127793151455,0.177007986419823,0.0159197206112566,0.0268921963963254,0.217673837132238,0.406145778544332,0.226915241203255,0.865366041899609,0.0915314352278687,0.550959303513656,0.954800643001806,0.232333402989913,0,1,0,0,0,0,0,0,1,0,0
T84,ColorectalAdenocarcinoma,-0.15812249190329,OXPHOS_low,0.96933081777798,0.609538774534415,0.408384465970206,0.430309038686605,0.384362974415323,0.37270389488096,0.635126403405291,0.471031848055356,0.654260921860608,0.920434616546178,0.862155557537206,0.0093397010416609,0.353843968990697,0.690719876997079,0.0620470452365132,0.99998256436096,0.312285988514858,0.120000012209441,0.0457578289046764,0.0141978830604431,0.822328124731656,0.953989754032397,0.971639924888269,0.0343317094322668,0.818295976681464,0.249280706588944,0.0072198380027977,1,0,0,0,0,0,1,0,1,0,0
T98G,DiffuseGlioma,0.11249179935902,0,0.952811781160063,0.406546417013033,0.151213611440911,0.975310240873359,0.0420808557923827,0.552026534319862,0.311110322717846,0.39844303593811,0.175146313043612,0.0278796541835649,0.675868880523437,0.942806357562498,0.344504370108823,0.660455445111267,0.227534980902784,0.206286201170622,0.432893085462153,0.19791174782148,0.422332055718443,0.0808364894045608,0.910297814170338,0.258920271942516,0.243092409990719,0.980210154453845,0.965758191801596,0.393364450002954,0.990863792949334,0,0,0,0,0,0,0,0,0,0,1
TCCPAN2,PancreaticAdenocarcinoma,0.128296981558147,0,0.946688826494769,0.483344515774946,0.0046986628047454,0.958023021404318,0.249313735201005,0.998805751796026,0.0418998507932445,0.317834570522564,0.350927578277615,0.95917421032011,0.990946569542203,0.253444130878805,0.999836715505195,0.249572538095909,0.178685838181672,0.819978767630315,0.865167587911738,0.0242496356803871,0.554265697637198,0.871940129102502,0.966297706493555,0.861109061625485,0.630742249651631,0.030972975784833,0.920188289981571,0.197915892208958,0.381153040105226,0,0,0,0,0,0,1,0,0,0,0
TM31,DiffuseGlioma,-0.121683800006838,OXPHOS_low,0.0999245760772921,0.444599151317296,0.20391251725061,0.973204199050829,0.381716026997428,0.27328268130659,0.197153356117534,0.144280986441697,0.148147820742801,0.0372847831620351,0.0366992887314586,0.570129651662799,0.0384024348440267,0.957680353886447,0.0251227153639948,0.590760738703667,0.07864786803874,0.0089239761456457,0.788695954832622,0.326399845641657,0.624829462813684,0.446870079684865,0.532082137266718,0.158481664827856,0.545071839010021,0.0461274528777222,0.926479543795926,0,0,0,0,0,0,0,1,0,0,1
TO14,OvarianEpithelialTumor,0.450449118274097,OXPHOS_high,0.0735466691663866,0.530554478022596,0.458866849609792,0.779056504340837,0.0272321365852819,0.9966116541775,0.0869083323283621,0.597346764737635,0.169129247541262,0.253511271157154,0.00075549106351,0.546954812614404,0.133095091590102,0.133110132575838,0.111722316934267,0.32890293610606,0.738533217485173,0.0038982523201006,0.024963322611501,0.659041465098564,0.466338170054626,0.0825666046249073,0.25196396139164,0.0223875800766132,0.0450511943634092,0.210989325777828,1,0,0,0,1,0,0,0,0,0,0,1
TOV112D,OvarianEpithelialTumor,-0.0640513726175596,0,0.0136333571205248,0.887623322456914,0.621898276825886,0.778944146679772,0.788752409700655,0.434387105277283,0.975933778009635,0.975860224406192,0.962880090815974,0.0771252841120225,0.0076608726147191,0.0052666555647821,0.007096225851188,0.070701069178494,0.973485389985305,0.752053458156478,0.330684286770746,0.0001240932249635,0.338232025928475,0.885935043265632,0.326171548474875,0.198797775815711,0.531194008851476,0.0204080089356729,0.191859543743736,0.904033358667968,0.934445369962298,0,0,0,0,0,0,0,0,0,0,1
TOV21G,OvarianEpithelialTumor,0.343894429325829,OXPHOS_high,0.0697858539442423,0.933185342957193,0.733577274278764,0.980311270016579,0.261545592063276,0.683992282001087,0.970878024318292,0.95142046697442,0.987488261480959,0.041176635113998,0.0939043519427433,0.178632818363877,0.980986539504461,0.374612081652749,0.954638167334584,0.173210399027505,0.969374495016498,0.824660632089329,0.340193882788341,0.959428678476756,0.881611140912645,0.294690394927114,0.689570739661528,0.890516290801099,0.135201582346864,0.956042656793782,0.986544216059441,0,1,0,0,0,0,1,1,1,1,0
TT1TKB,ColorectalAdenocarcinoma,-0.267717861951661,OXPHOS_low,0.788953711178248,0.975299406486477,0.0273583309392053,0.697149146914363,0.165990948442408,0.156646600735497,0.541313609151355,0.810685537827446,0.115997168730425,0.97818496300639,0.437135075169517,0.895659239862376,0.0981597571909598,0.945045379109823,0.871651577928656,0.0745607929060143,0.522657888778882,0.513461366295403,0.417012258676112,0.819230405919662,0.556959441026928,0.08192787231118,0.969645644106908,0.0273779440344317,0.977581313191434,0.943668641594675,0.0984560866235055,1,0,0,0,0,0,1,0,0,0,1
TUHR10TKB,RenalCellCarcinoma,-0.115398427805313,OXPHOS_low,0.451308117771953,0.0701848566983017,0.0320087172334837,0.987406201645319,0.0332069561998546,0.0465631087136661,0.0245890668258427,0.0249798918842959,0.0302818811978108,0.0237615311095713,0.916445232908682,0.137071973930009,0.999957259735912,0.109126553218728,0.0307545287993065,0.834030899516519,0.0436081740538318,0.0607143888090682,0.0283583176232699,0.0344165068366135,0.196750911570815,0.824386235394819,0.0732863222848372,0.175771755697021,0.0194090724359766,0.0748469878726218,0.966482120226181,0,0,0,0,0,0,0,0,0,0,0
TUHR14TKB,RenalCellCarcinoma,0.0590435108089856,0,0.171739109903135,0.0503953763341483,0.587752837692954,0.958840254404824,0.986860294201122,0.989922025823783,0.896971653379271,0.929337714585406,0.404964019519777,0.0866233424653253,0.224064159433904,0.616581283451764,0.751612403880849,0.803366084976426,0.710431647740619,0.824171705708135,0.454739743450584,0.353619669365563,0.459807786969475,0.573247960329152,0.17649189700875,0.818103713168102,0.761463146071664,0.848959364084614,0.434706788427552,0.803664220837693,0.938009998879159,0,0,0,0,0,0,0,0,0,0,0
TUHR4TKB,RenalCellCarcinoma,-0.0701489006588511,0,0.586121551843968,0.0352200440080003,0.049524936694533,0.968652697223219,0.155886808246481,0.0130873182384983,0.192902896766818,0.0431218722819817,0.0268801678462391,0.0551117229311572,0.693549013829423,0.117453887034127,0.999314332247044,0.938298540262955,0.0091922569661627,0.851521987902709,0.0228855930743964,0.314427633719031,0.6211112430551,0.109941840601413,0.785472160141121,0.987611890793777,0.312286718153769,0.414411419754606,0.0056236071744686,0.0138625337124318,0.999674020969893,0,0,0,0,0,0,0,0,0,0,0
TYKNU,OvarianEpithelialTumor,0.20371693901386,OXPHOS_high,0.0650539665499111,0.78265610418481,0.96025555203475,0.845311872004202,0.216855800083276,0.979111711965218,0.880725380575487,0.928579008067095,0.602725496012035,0.2046813314138,0.99998988654247,0.962115150217525,1,0.779840233799589,0.972885695438676,0.0527684920000372,0.990862136465409,0.987484206657473,0.196118392596809,0.0995749013741607,0.483246978718497,1,0.510007140434898,0.210859175078052,0.955059795332422,0.915542458753465,0.821938397042328,0,0,0,0,0,0,0,0,0,0,1
U118MG,DiffuseGlioma,0.0224418556555083,0,0.621693789866294,0.0767748085213188,0.689230930106239,0.925815317855638,0.17140681629086,0.649059545558657,0.18426117373541,0.0802190486952175,0.344358845300117,0.987266112456885,0.967998844979058,0.952479037752763,0.42600236140205,0.942033645745406,0.0608874891779057,0.318929131341679,0.0056174041330342,0.493756903925368,0.92498433230553,0.0320770466237881,0.855900660420585,0.124119205880369,0.0238494435304529,0.163448611046606,0.264203063448324,0.0865930542085813,0.999957991298698,0,0,0,0,0,0,0,0,0,0,1
U251MG,DiffuseGlioma,0.170793863231345,OXPHOS_high,0.075560300050136,0.884829700920655,0.0136440973986195,0.953019875026734,0.209966510863047,0.912493428874252,0.601308465777248,0.637946414319924,0.75792224629896,0.062259802769729,0.95620373722166,0.0394265677493237,0.0296285963938299,0.191389861978557,0.721573985187151,0.986073623675861,0.196793743577296,0.0218802708405658,0.886027287919016,0.011734247418516,0.934318707676278,0.214153433392937,0.459424604455624,0.259050846771475,0.468859567927131,0.531437797634062,0.935998209349281,0,0,0,0,0,0,0,1,0,1,1
U251MGDM,DiffuseGlioma,0.604347001698108,OXPHOS_high,0.0249701495830816,0.930445576358633,0.0064051112714011,0.962681354813666,0.382502391567353,0.965708158440948,0.931411607430326,0.969540523887624,0.179476323093303,0.0214676214724444,0.35866678458651,0.0313987665693978,0.87288422101257,0.110666245516815,0.994396610751796,0.971504475658511,0.0671635792296981,0.330783443487839,0.660487399453374,0.0574699090096567,0.590276088064343,0.142086044455036,0.423554912957417,0.650244514558118,0.751254160003271,0.959066390360138,0.420567340350474,0,0,0,0,0,0,0,1,0,1,1
U343,DiffuseGlioma,-0.026459598263321,0,0.170970288212584,0.0916318769048868,0.0138402837457589,0.969635287430011,0.216103365223094,0.151392852207619,0.0804795091546323,0.0719417534176948,0.0500762839054877,0.435999511058743,0.981774009969202,0.547062658614933,0.163139646256642,0.167977244545504,0.0149001922993795,0.200294836947355,0.477267038593629,0.0284934091052272,0.976551090713802,0.0094277236296178,0.74111951243816,0.139283487650106,0.316506785873787,0.0735501981482463,0.964171921656006,0.0973490827435696,0.680393625565013,0,0,0,0,0,0,0,0,0,0,0
U87MG,DiffuseGlioma,0.406112598286471,OXPHOS_high,0.0654017546225615,0.279570727158916,0.0268048544566026,0.106807974113029,0.0356293437784867,0.187920313635158,0.233616784824688,0.137395498586867,0.268238083164284,0.182952743677731,0.829141747828976,0.825818648172158,0.831495596995156,0.0461214972249485,0.182327018161833,0.0602955813692397,0.332923638113337,0.0486569624276996,0.18176371211043,0.0101811131602038,0.0154369023463715,0.0591155538197776,0.395338357380835,0.51020279930236,0.112593603817837,0.448092665576386,0.984290800181013,0,0,0,0,0,0,0,0,0,0,0
